,0,1,2
36,1179407460756578307,2019-10-02 14:47:05,b'\xe2\x80\x9cNancy Pelosi and the Democrats haven\xe2\x80\x99t met the standards of impeachment. They have to be very careful here.\xe2\x80\x9d Jeanne Zaino. @FoxNews'
37,1179402463805345794,2019-10-02 14:27:14,b'#DONOTHINGDEMS'
38,1179402197093814272,2019-10-02 14:26:10,b'All the Do Nothing Democrats are focused on is Impeaching the President for having a very good conversation with th\xe2\x80\xa6 https://t.co/n1uFNVlDPG'
39,1179399836883394562,2019-10-02 14:16:47,"b'Congressman Adam Schiff should resign for the Crime of, after reading a transcript of my conversation with the Pres\xe2\x80\xa6 https://t.co/SWi7gOq09g'"
40,1179397444091699200,2019-10-02 14:07:17,"b'RT @DailySignal: As the Index of Economic Freedom shows, countries that implement free-market policies enable women to make their own econo\xe2\x80\xa6'"
41,1179397341893271558,2019-10-02 14:06:53,b'RT @MariaBartiromo: Democrats want to stop Barr from investigating what happened in 2016. SPOT ON.  As we have been saying on \xe2\x81\xa6@MorningsMar\xe2\x80\xa6'
42,1179395773580140544,2019-10-02 14:00:39,"b'RT @GOP: HUGE Q3 fundraising numbers thanks to @GOPChairwoman, @parscale, and of course the STRONG enthusiasm behind @realDonaldTrump!\nhttp\xe2\x80\xa6'"
43,1179382223860113413,2019-10-02 13:06:48,"b'Massive sections of The Wall are being built at our Southern Border. It is going up rapidly, and built to the highe\xe2\x80\xa6 https://t.co/i3c6PpMi3X'"
44,1179378450936807424,2019-10-02 12:51:49,"b'I won the right to be a presidential candidate in California, in a major Court decision handed down yesterday. It w\xe2\x80\xa6 https://t.co/CyuPpTo0kS'"
45,1179375408405450752,2019-10-02 12:39:43,b'Louisiana Republicans must go out and vote REPUBLICAN in your Governor\xe2\x80\x99s race. A Republican will win if you can for\xe2\x80\xa6 https://t.co/oO14xgxzQP'
46,1179189266234167297,2019-10-02 00:20:04,b'The Greatest Witch Hunt in the history of our Country! https://t.co/7moLU6UTcE'
47,1179179575059927040,2019-10-01 23:41:33,"b'....People, their VOTE, their Freedoms, their Second Amendment, Religion, Military, Border Wall, and their God-give\xe2\x80\xa6 https://t.co/LWjvAwYOZg'"
48,1179179573541511176,2019-10-01 23:41:33,"b'As I learn more and more each day, I am coming to the conclusion that what is taking place is not an impeachment, i\xe2\x80\xa6 https://t.co/8tLcBuk5RO'"
49,1179157913090379782,2019-10-01 22:15:28,"b'....a Nancy Pelosi/Chuck Schumer Democrat (John Bel Edwards), who does nothing but stymie all of the things we are\xe2\x80\xa6 https://t.co/yUuvrddzKV'"
50,1179157911374897166,2019-10-01 22:15:28,"b'REPUBLICANS of Louisiana, it is really important for you to go out and vote on October 12th for either Eddie Rispon\xe2\x80\xa6 https://t.co/knvy9ZcDNB'"
51,1179048439319072768,2019-10-01 15:00:28,b'Why isn\xe2\x80\x99t Congressman Adam Schiff being brought up on charges for fraudulently making up a statement and reading it\xe2\x80\xa6 https://t.co/UZQ6UF8FV1'
52,1179041970590748672,2019-10-01 14:34:45,"b'As I predicted, Jay Powell and the Federal Reserve have allowed the Dollar to get so strong, especially relative to\xe2\x80\xa6 https://t.co/9Y563f6Dpg'"
53,1179036697725669377,2019-10-01 14:13:48,"b'RT @realDonaldTrump: Today, I was proud to sign the Autism CARES Bill! We support research for Americans with Autism and their families. Yo\xe2\x80\xa6'"
54,1179036607682187264,2019-10-01 14:13:27,b'RT @realDonaldTrump: THANK YOU! https://t.co/zqbTTlbGmp'
55,1179036524073148417,2019-10-01 14:13:07,b'RT @JesseBWatters: Biden\xe2\x80\x99s caught lying about Ukraine...hiding who was on board with Hunter. #TheFive https://t.co/nsb2Vmmfe1'
56,1179036456691494913,2019-10-01 14:12:51,b'RT @CLewandowski_: Joining @IngrahamAngle tonight on @FoxNews during the 10:00 PM hour.  Promises to be a lively show.  Watch!'
57,1179023004241727489,2019-10-01 13:19:24,"b'....the Whistleblower, and also the person who gave all of the false information to him. This is simply about a pho\xe2\x80\xa6 https://t.co/4DvAkHxisy'"
58,1179023001989373952,2019-10-01 13:19:23,"b'So if the so-called \xe2\x80\x9cWhistleblower\xe2\x80\x9d has all second hand information, and almost everything he has said about my \xe2\x80\x9cpe\xe2\x80\xa6 https://t.co/DNGvlSx1i5'"
59,1178990430937067520,2019-10-01 11:09:57,"b'\xe2\x80\x9cThe congratulatory phone call with the Ukrainian President was PERFECT, unless you heard Liddle\xe2\x80\x99 Adam Schiff\xe2\x80\x99s fra\xe2\x80\xa6 https://t.co/macxKMW8T5'"
60,1178989254309011456,2019-10-01 11:05:17,b'https://t.co/dOta1Z9gtZ'
61,1178987847132602368,2019-10-01 10:59:41,"b'RT @kayleighmcenany: .@TeamTrump is coming to Dallas, TX for a @realDonaldTrump rally on 10/17!\n\n\xe2\x80\x9cUnder President Trump\xe2\x80\x99s leadership, 774,4\xe2\x80\xa6'"
62,1178987489417203712,2019-10-01 10:58:16,b'RT @GOPChairwoman: The American people want Washington to work for them.\n\nThat\xe2\x80\x99s what @realDonaldTrump has done since he was elected.\n\nAll\xe2\x80\xa6'
63,1178987425709862912,2019-10-01 10:58:01,"b'RT @WhiteHouse: When President @realDonaldTrump was elected, his pro-growth, pro-worker agenda was set to change the economic landscape for\xe2\x80\xa6'"
64,1178987193366396928,2019-10-01 10:57:06,b'RT @MariaBartiromo: https://t.co/reEftrXJGp this is why the democrats are ramping up.  They know this is coming.  This is the biggest scand\xe2\x80\xa6'
65,1178986524630802432,2019-10-01 10:54:26,b'Congratulations to President Xi and the Chinese people on the 70th Anniversary of the People\xe2\x80\x99s Republic of China!'
66,1178984236524675072,2019-10-01 10:45:21,"b'Great job, just in time! https://t.co/KMUXtO8IYz'"
67,1178983018024841216,2019-10-01 10:40:30,"b""RT @SteveScalise: Radicals &amp; socialists have taken over the Democrat Party. They're calling all the shots now.\n\nJust last week, they pressu\xe2\x80\xa6"""
68,1178981327082856448,2019-10-01 10:33:47,"b'You cannot judge my Stock Market performance since the Inauguration, which was very good, but only from the day aft\xe2\x80\xa6 https://t.co/sUMCWsStoO'"
69,1178978148135899136,2019-10-01 10:21:09,b'The Corrupt Media refuses to cover this! https://t.co/JIiOE2a2JF'
